GB,01-01-2018 04:00,27372.23
GR,01-01-2018 04:00,4485.77
HR,01-01-2018 04:00,1720
HU,01-01-2018 04:00,3381.66
IE,01-01-2018 04:00,2408.13
IS,01-01-2018 04:00,2128.57
IT,01-01-2018 04:00,20934
LT,01-01-2018 04:00,1011
LU,01-01-2018 04:00,447.1
LV,01-01-2018 04:00,613
ME,01-01-2018 04:00,330
MK,01-01-2018 04:00,715
NL,01-01-2018 04:00,10431
NO,01-01-2018 04:00,16205.08
PL,01-01-2018 04:00,12189
PT,01-01-2018 04:00,3815
RO,01-01-2018 04:00,4987
RS,01-01-2018 04:00,4134
SE,01-01-2018 04:00,15516
SI,01-01-2018 04:00,1023
SK,01-01-2018 04:00,2562.35
TR,01-01-2018 04:00,23267.9
AL,01-01-2018 05:00,573.85
AT,01-01-2018 05:00,6160
BA,01-01-2018 05:00,1138
BE,01-01-2018 05:00,7699
BG,01-01-2018 05:00,3169.87
CH,01-01-2018 05:00,7205
CY,01-01-2018 05:00,385
CZ,01-01-2018 05:00,5294
DE,01-01-2018 05:00,40280.63
DK,01-01-2018 05:00,2998.2
EE,01-01-2018 05:00,791
ES,01-01-2018 05:00,18944
FI,01-01-2018 05:00,9964.3
FR,01-01-2018 05:00,50909
GB,01-01-2018 05:00,27408.88
GR,01-01-2018 05:00,4542.76
HR,01-01-2018 05:00,1670
HU,01-01-2018 05:00,3461.31
IE,01-01-2018 05:00,2374.45
IS,01-01-2018 05:00,2119.22
IT,01-01-2018 05:00,21903
LT,01-01-2018 05:00,1027
LU,01-01-2018 05:00,445
LV,01-01-2018 05:00,628
ME,01-01-2018 05:00,336
MK,01-01-2018 05:00,716
NL,01-01-2018 05:00,10700
NO,01-01-2018 05:00,16567.06
PL,01-01-2018 05:00,12215
PT,01-01-2018 05:00,3832
RO,01-01-2018 05:00,4964
RS,01-01-2018 05:00,4045
SE,01-01-2018 05:00,15784
SI,01-01-2018 05:00,1061
SK,01-01-2018 05:00,2612.95
TR,01-01-2018 05:00,23875.44
AL,01-01-2018 06:00,682.68
AT,01-01-2018 06:00,6624
BA,01-01-2018 06:00,1169
BE,01-01-2018 06:00,7552
BG,01-01-2018 06:00,3346.66
CH,01-01-2018 06:00,7106
CY,01-01-2018 06:00,379
CZ,01-01-2018 06:00,5315
DE,01-01-2018 06:00,40693.66
DK,01-01-2018 06:00,3082.9
EE,01-01-2018 06:00,807.6
ES,01-01-2018 06:00,19399
FI,01-01-2018 06:00,10150.46
FR,01-01-2018 06:00,51150
GB,01-01-2018 06:00,28970.07
GR,01-01-2018 06:00,4702.57
HR,01-01-2018 06:00,1510
HU,01-01-2018 06:00,3523.9
IE,01-01-2018 06:00,2409.67
IS,01-01-2018 06:00,2128.35
IT,01-01-2018 06:00,22456
LT,01-01-2018 06:00,1037
LU,01-01-2018 06:00,456.3
LV,01-01-2018 06:00,640
ME,01-01-2018 06:00,342
MK,01-01-2018 06:00,678
NL,01-01-2018 06:00,11002
NO,01-01-2018 06:00,16867.07
PL,01-01-2018 06:00,12243
PT,01-01-2018 06:00,3724
RO,01-01-2018 06:00,4887
RS,01-01-2018 06:00,3991
SE,01-01-2018 06:00,16028
SI,01-01-2018 06:00,1092
SK,01-01-2018 06:00,2607.92
TR,01-01-2018 06:00,24346.96
AL,01-01-2018 07:00,842.36
AT,01-01-2018 07:00,6958
BA,01-01-2018 07:00,1280
BE,01-01-2018 07:00,7599
BG,01-01-2018 07:00,3586.92
CH,01-01-2018 07:00,7186
CY,01-01-2018 07:00,375
CZ,01-01-2018 07:00,5343
DE,01-01-2018 07:00,41536.38
DK,01-01-2018 07:00,3218.5
EE,01-01-2018 07:00,804
ES,01-01-2018 07:00,19176
FI,01-01-2018 07:00,10184.09
FR,01-01-2018 07:00,50747
GB,01-01-2018 07:00,30192.84
GR,01-01-2018 07:00,5089.56
HR,01-01-2018 07:00,1584
HU,01-01-2018 07:00,3642.76
IE,01-01-2018 07:00,2431.08
IS,01-01-2018 07:00,2131.71
IT,01-01-2018 07:00,22794
LT,01-01-2018 07:00,1056
LU,01-01-2018 07:00,457
LV,01-01-2018 07:00,640
ME,01-01-2018 07:00,371
MK,01-01-2018 07:00,704
NL,01-01-2018 07:00,11254
NO,01-01-2018 07:00,17174.59
PL,01-01-2018 07:00,12010
PT,01-01-2018 07:00,3683
RO,01-01-2018 07:00,4891
RS,01-01-2018 07:00,4161
SE,01-01-2018 07:00,16258
SI,01-01-2018 07:00,1139
SK,01-01-2018 07:00,2683.77
TR,01-01-2018 07:00,25804.69
AL,01-01-2018 08:00,950.08
AT,01-01-2018 08:00,7382
BA,01-01-2018 08:00,1391
BE,01-01-2018 08:00,7676
BG,01-01-2018 08:00,3714.42
CH,01-01-2018 08:00,7334
CY,01-01-2018 08:00,376
CZ,01-01-2018 08:00,5796
DE,01-01-2018 08:00,43695.88
DK,01-01-2018 08:00,3511.1
EE,01-01-2018 08:00,841.8
ES,01-01-2018 08:00,19799
